Time,Cpu Usage %,Network Call,RAM Usage % by server,Garbage Collector (Javascript used HEAP bytes)
Fri Jun 25 2021 16:23:30 GMT+0200 (GMT+02:00),0.000398655,,248594432,150122520
Fri Jun 25 2021 16:23:35 GMT+0200 (GMT+02:00),0.00042917,,248676352,144993376
Fri Jun 25 2021 16:23:40 GMT+0200 (GMT+02:00),0.000372819,,210255872,144558832
Fri Jun 25 2021 16:23:45 GMT+0200 (GMT+02:00),0.000358779,,210313216,144558832
Fri Jun 25 2021 16:23:50 GMT+0200 (GMT+02:00),0.000390003,,210391040,144558832
Fri Jun 25 2021 16:23:55 GMT+0200 (GMT+02:00),0.000315192,,210460672,144558832
Fri Jun 25 2021 16:24:00 GMT+0200 (GMT+02:00),0.000291915,,210513920,144558832
Fri Jun 25 2021 16:24:05 GMT+0200 (GMT+02:00),0.000332345,,210583552,144558832
Fri Jun 25 2021 16:24:10 GMT+0200 (GMT+02:00),0.000253335,,210653184,144558832
Fri Jun 25 2021 16:24:10 GMT+0200 (GMT+02:00),0.000253335,[IN] - 200 [GET] /api/patients,210653184,144558832
Fri Jun 25 2021 16:24:15 GMT+0200 (GMT+02:00),0.00166674,[IN] - 200 [GET] /api/patients/60d5e37afe502f1793caed24,211587072,144558832
Fri Jun 25 2021 16:24:15 GMT+0200 (GMT+02:00),0.00166674,,211587072,144558832
Fri Jun 25 2021 16:24:18 GMT+0200 (GMT+02:00),0.000203393,[IN] - 200 [DELETE] /api/patients/60d5e37afe502f1793caed24,211611648,144558832
Fri Jun 25 2021 16:24:19 GMT+0200 (GMT+02:00),0.000203393,[IN] - 200 [DELETE] /api/patients/60d5e37afe502f1793caed24,211611648,144558832
Fri Jun 25 2021 16:24:20 GMT+0200 (GMT+02:00),0.000558375,,211832832,145123400
Fri Jun 25 2021 16:24:22 GMT+0200 (GMT+02:00),0.000647071,[IN] - 403 [POST] /api/patients,211181568,145123400
Fri Jun 25 2021 16:24:25 GMT+0200 (GMT+02:00),0.000844516,[IN] - 201 [POST] /api/patients,211894272,145123400
Fri Jun 25 2021 16:24:25 GMT+0200 (GMT+02:00),0.000844516,,211894272,145123400
Fri Jun 25 2021 16:24:28 GMT+0200 (GMT+02:00),0.000765455,[IN] - 200 [GET] /api/patients,211603456,145666456
Fri Jun 25 2021 16:24:30 GMT+0200 (GMT+02:00),0.000453138,,211603456,145666456
Fri Jun 25 2021 16:24:35 GMT+0200 (GMT+02:00),0.00032478,,211861504,145666456
Fri Jun 25 2021 16:24:36 GMT+0200 (GMT+02:00),0.000376017,[IN] - 200 [PUT] /api/patients/60d5e7198027f318a8d1a03a,211910656,145666456
Fri Jun 25 2021 16:24:40 GMT+0200 (GMT+02:00),0.000623484,,212123648,145666456
Fri Jun 25 2021 16:24:45 GMT+0200 (GMT+02:00),0.000619633,,212406272,145666456
Fri Jun 25 2021 16:24:49 GMT+0200 (GMT+02:00),0.000402098,[IN] - 200 [GET] /api/patients,211763200,145903128
Fri Jun 25 2021 16:24:50 GMT+0200 (GMT+02:00),0.000402098,,211763200,145903128
Fri Jun 25 2021 16:24:51 GMT+0200 (GMT+02:00),0.000402098,[IN] - 403 [POST] /api/patients,211763200,145903128
Fri Jun 25 2021 16:24:55 GMT+0200 (GMT+02:00),0.000481692,[IN] - 201 [POST] /api/patients,212176896,145903128
Fri Jun 25 2021 16:24:55 GMT+0200 (GMT+02:00),0.000481692,,212176896,145903128
Fri Jun 25 2021 16:24:58 GMT+0200 (GMT+02:00),0.000366814,[IN] - 201 [POST] /api/patients,212459520,145903128
Fri Jun 25 2021 16:25:00 GMT+0200 (GMT+02:00),0.000366814,[IN] - 200 [GET] /api/patients,212459520,145903128
Fri Jun 25 2021 16:25:00 GMT+0200 (GMT+02:00),0.000366814,,212459520,145903128
Fri Jun 25 2021 16:25:05 GMT+0200 (GMT+02:00),0.000570933,,212082688,146016928
